date, pm25, pm10, o3, no2, so2, co
2017/10/16, , 100, 32, 22, 10, 9
2017/10/17, , 131, 14, 14, 10, 
2017/10/18, , 85, 182, 7, 11, 
2017/10/19, , 33, 324, 13, 15, 4
2017/10/20, , 59, , 14, 2, 4
2017/10/21, , 31, , , , 
2017/10/24, , 91, , 21, 1, 6
2017/10/25, , 80, , 22, 3, 9
2017/10/26, , 114, , 25, 5, 
2017/10/27, , 117, , 26, 1, 
2017/10/28, , 140, , , , 
2017/7/3, , 73, 10, 16, 7, 5
2017/7/4, , 60, 3, 14, 8, 4
2017/7/6, , 81, 2, 22, 10, 9
2017/7/7, , 76, 8, 17, 10, 5
2017/7/8, , 78, 8, 17, 9, 4
2017/7/9, , 62, 9, 11, 10, 3
2017/7/10, , 247, 324, 72, 112, 7
2017/7/11, , 58, 9, 15, 11, 4
2017/7/12, , 75, 11, 16, 8, 5
2017/7/13, , 44, 7, 15, 9, 4
2017/7/14, , 44, 6, 11, 9, 3
2017/7/15, , 52, 23, 17, 12, 3
2017/7/16, , 50, 23, 16, 12, 4
2017/7/17, , 34, 9, 13, 10, 4
2017/7/18, , 34, 6, 11, 9, 3
2017/7/19, , 26, 6, 12, 9, 4
2017/7/20, , 42, 20, 17, 14, 5
2017/7/21, , 62, 7, 17, 7, 6
2017/7/22, , 75, 20, 27, 10, 5
2017/7/23, , 48, 4, 20, 8, 5
2017/7/24, , 44, 5, 15, 7, 4
2017/7/25, , 64, 7, 21, 8, 5
2017/7/26, , 71, 8, 17, 8, 5
2017/7/27, , 62, 8, 22, 8, 5
2017/7/28, , 78, 11, 23, 8, 5
2017/7/29, , 93, 15, 28, 7, 5
2017/7/30, , 89, 27, 25, 10, 4
2017/7/31, , 88, 10, 27, 7, 6
2017/8/1, , 85, 9, 35, 7, 6
2017/8/2, , 102, 9, 31, 8, 7
2017/8/3, , 78, 9, 26, 8, 6
2017/8/4, , 67, 10, 23, 8, 6
2017/8/5, , 63, 11, 21, 8, 5
2017/8/6, , 50, 9, 13, 8, 5
2017/8/7, , 55, 6, 12, 8, 4
2017/8/8, , 54, 8, 18, 8, 4
2017/8/9, , 63, 8, 22, 7, 4
2017/8/10, , 64, 10, 24, 9, 5
2017/8/11, , 75, 8, 28, 7, 6
2017/8/12, , 72, 4, 27, 7, 6
2017/8/13, , 62, 6, 20, 7, 5
2017/8/14, , 69, 7, 22, 7, 7
2017/8/15, , 61, 14, 18, 7, 4
2017/8/16, , 71, 11, 23, 7, 6
2017/8/17, , 58, 11, 18, 7, 5
