date, pm25, pm10, o3, no2, so2, co
2019/2/16, 184, 109, 38, 15, 8, 7
2019/2/17, 184, 135, 24, 32, 9, 8
2019/2/18, 189, 173, 40, 32, 8, 14
2019/2/19, 217, 117, 21, 29, 9, 10
2019/2/20, 179, 122, 40, 29, 12, 12
2019/2/21, 158, 103, 31, 12, 7, 5
2019/2/22, 155, 82, 34, 12, 8, 4
2019/2/23, 145, 115, 38, 18, 12, 6
2019/2/24, 187, 131, 46, 27, 10, 10
2019/2/25, 177, 92, 23, 26, 10, 6
2019/2/26, 153, 65, 14, 13, 7, 3
2019/2/27, 142, 153, 2, 34, 6, 11
2019/2/28, 183, 124, 33, 20, 9, 7
2019/3/1, 176, 129, 12, 35, 11, 11
2019/3/2, 197, 77, 32, 23, 7, 8
2019/3/3, 153, 93, 34, 14, 9, 5
2019/3/4, 168, 99, 24, 15, 9, 6
2019/3/5, 160, 118, 22, 18, 9, 5
2019/3/6, 179, 138, 41, 22, 8, 12
2019/3/7, 178, 131, 66, 26, 12, 9
2019/3/8, 174, 107, 31, 16, 10, 5
2019/3/9, 150, 115, 42, 20, 12, 5
2019/3/10, 166, 139, 36, 29, 9, 9
2019/3/11, 162, 90, 35, 10, 7, 4
2019/3/12, 141, 153, 27, 19, 14, 7
2019/3/13, 168, 137, 22, 18, 12, 9
2019/3/14, 172, 108, 29, 16, 11, 7
2019/3/15, 167, 95, 35, 15, 11, 5
2019/3/16, 155, 122, 4, 19, 15, 8
2019/3/17, 174, 140, 32, 21, 15, 10
2019/3/18, 195, 195, 36, 28, 14, 13
2019/3/19, 200, 184, 48, 30, 14, 13
2019/3/20, 164, 126, 35, 14, 12, 9
2019/3/21, 174, 83, 34, 11, 9, 5
2019/3/22, 113, 96, 33, 11, 13, 4
2019/3/23, 140, 90, 28, 11, 10, 5
2019/3/24, 129, 100, 30, 12, 12, 6
2019/3/25, 150, 114, 38, 16, 12, 8
2019/3/26, 162, 132, 39, 22, 15, 11
2019/3/27, 166, 214, 48, 28, 19, 16
2019/3/28, 215, 180, 45, 29, 13, 18
2019/3/29, 203, 166, 68, 26, 15, 13
2019/3/30, 186, , , , , 
2018/10/1, 155, 134, 13, 13, 9, 11
2018/10/2, 171, 145, 18, 15, 8, 11
2018/10/3, 160, 193, 36, 20, 10, 16
2018/10/4, 187, 190, 21, 18, 11, 15
2018/10/5, 210, 127, 12, 13, 10, 9
2018/10/6, 161, 154, 18, 12, 10, 10
2018/10/7, 178, 201, 29, 21, 11, 11
2018/10/8, 211, 185, 35, 30, 11, 15
2018/10/9, 184, 179, 21, 30, 11, 14
2018/10/10, 196, 130, 16, 17, 8, 8
2018/10/11, 157, 145, 22, 13, 11, 8
2018/10/12, 174, 197, 17, 14, 11, 11
2018/10/13, 232, 147, 20, 12, 10, 10
2018/10/14, 188, 244, 21, 20, 10, 15
2018/10/15, 207, 306, 25, 33, 11, 20
2018/10/16, 255, 325, 33, 28, 10, 24
2018/10/17, 237, 438, 24, 43, 10, 35
2018/10/18, 276, 290, 41, 19, 9, 19
2018/10/19, 223, 293, 29, 22, 12, 12
2018/10/20, 274, 293, 30, 24, 13, 16
2018/10/21, 245, 222, 30, 23, 10, 15
2018/10/22, 214, 294, 33, 32, 10, 23
2018/10/23, 222, 425, 30, 43, 11, 25
2018/10/24, 291, 372, 41, 36, 16, 20
2018/10/25, 286, 514, 33, 46, 14, 35
2018/10/26, 348, 582, 31, 49, 15, 37
2018/10/27, 361, 379, 27, 33, 11, 30
2018/10/28, 340, 435, 27, 39, 11, 30
2018/10/29, 398, 508, 31, 46, 10, 34
2018/10/30, 384, 486, 47, 51, 11, 42
2018/10/31, 382, 427, 50, 49, 11, 41
2018/11/1, 352, 244, 30, 48, 12, 18
2018/11/2, 255, 187, 21, 32, 12, 14
2018/11/3, 227, 114, 33, 17, 10, 8
2018/11/4, 176, 390, 25, 25, 8, 17
2018/11/5, 415, 204, 30, 14, 10, 12
2018/11/6, 266, 225, 37, 28, 13, 20
2018/11/7, 245, 612, 22, 40, 17, 31
2018/11/8, 549, 388, 35, 40, 11, 32
2018/11/9, 360, 442, 20, 60, 11, 40
2018/11/10, 389, 393, 41, 47, 10, 33
2018/11/11, 349, 454, 44, 44, 10, 32
2018/11/12, 378, 403, 17, 55, 11, 35
2018/11/13, 374, 145, 19, 39, 9, 18
2018/11/14, 217, 113, 17, 24, 10, 11
2018/11/15, 188, 151, 32, 20, 9, 11
2018/11/16, 236, 175, 37, 23, 12, 15
2018/11/17, 223, 264, 64, 38, 15, 18
2018/11/18, 285, 212, 63, 36, 16, 20
2018/11/19, 260, 348, 51, 33, 15, 23
2018/11/20, 335, 281, 28, 23, 14, 19
2018/11/21, 305, 297, 52, 44, 15, 29
2018/11/22, 247, 286, 30, 22, 13, 24
2018/11/23, 299, 138, 32, 15, 13, 12
2018/11/24, 192, 243, 32, 26, 14, 21
2018/11/25, 246, 352, 31, 35, 17, 33
2018/11/26, 307, 422, 20, 59, 12, 64
2018/11/27, 328, 328, 26, 46, 11, 40
2018/11/28, 279, 359, 24, 32, 11, 26
2018/11/29, 334, 269, 25, 23, 11, 21
2018/11/30, 307, 251, 27, 30, 12, 28
2018/12/1, 245, 336, 30, 41, 11, 39
2018/12/2, 269, 395, 25, 39, 12, 38
2018/12/3, 305, 413, 26, 43, 10, 42
2018/12/4, 338, 367, 10, 40, 10, 38
2018/12/5, 309, 405, 45, 42, 11, 47
2018/12/6, 337, 293, 24, 26, 9, 24
2018/12/7, 305, 297, 27, 31, 11, 29
2018/12/8, 300, 405, 37, 38, 13, 39
2018/12/9, 354, 406, 30, 43, 12, 30
